;user;tweet_type;verified;followers;hashtags
0;eltonarabia77;popular;True;96177;['AlNassr']
1;SabrinaSato;popular;True;11088027;['IlhaRecord']
2;Flamengo;popular;True;8128462;['VamosFlamengo']
3;chicobarney;popular;True;497047;['PorscheDoGugu']
4;SenadorRogerio;popular;True;82257;['CPIdaCovid']
5;ciminacional;popular;True;32342;['MarcoTemporalNao']
6;fabiofaria;popular;True;310754;['Covid19']
7;YacovBen;recent;False;333;['Dia07VaiSerGIGANTE']
8;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz']
9;douglas_samaral;recent;False;1460;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
10;Guinacioo;recent;False;724;['vemDavidLuiz']
11;FLAD24;recent;False;0;['vemDavidLuiz']
12;sabrinasantos40;recent;False;603;['vemDavidLuiz', 'vemDavidLuiz']
13;maglamgirl;recent;False;450;['television', 'venusdemilo']
14;Jeanmagalhaes07;recent;False;310;['vemDavidLuiz']
15;FLAD24;recent;False;0;['vemDavidLuiz']
16;FLAD24;recent;False;0;['vemDavidLuiz']
17;arthursilvaGFR;recent;False;55;['EPJuliette']
18;qlf_lucas3;recent;False;79;['footballplayer', 'silencio']
19;raquelmcrf;recent;False;1549;['vemDavidLuiz', 'vemDavidLuiz']
20;taniaoli_;recent;False;2989;['7deSetembroVaiSerHistorico']
21;fisiobaco;recent;False;1104;['apoiase']
22;Maagaiver;recent;False;1306;['ObrigadoDeus']
23;Lahenrique8;recent;False;212;['1MinutoProCadu']
24;davidobigode;recent;False;206;['nofapseptember']
25;PedroRabelo33;recent;False;1779;['tv', 'tbc', 'abc']
26;LuCRF34;recent;False;782;['vemDavidLuiz']
27;RhuanaCorrea_;recent;False;104;['SantaDose']
28;PrefeituraCruz;recent;False;7;['PrefeituraDeCruz', 'Compartilhe']
29;MeuMengaoFc;recent;False;10556;['vemDavidLuiz']
30;Paiva1985;recent;False;31;['tbt', 'peixes', 'aquario', 'nemo']
31;Edilsonperesrj1;recent;False;38;['CidadeAlertaRJ']
32;osiasrjcrf;recent;False;682;['VemDaviLuiz']
33;douglasviegas34;recent;True;34427;['FubangagemÉPraQuemÉ', 'SempreNinja']
34;farmedeiros;recent;False;2541;['vemDavidLuiz']
35;aeltonsmonteiro;recent;False;14;['vemDavidLuiz']
36;chyrlan1;recent;False;4056;['Dia7VaiSerGigante']
37;riosdenare;recent;False;4483;['PURAKÊ']
38;AVozDeTrovao;recent;False;83;['TBT']
39;Jornal_Canyons;recent;False;284;['F5', 'IBOV']
40;RhuanaCorrea_;recent;False;104;['BaileDaRoma']
41;farmedeiros;recent;False;2541;['vemDavidLuiz']
42;eumatheusinn;recent;False;585;['VemDavidLuiz']
43;viniciusmcfla;recent;False;507;['vemDavidLuiz']
44;valdetemartins;recent;False;1044;['tbt']
45;MauricioAirolde;recent;False;5081;['LulaPresidente2022']
46;Poxa_fany27;recent;False;484;['tbt']
47;aeltonsmonteiro;recent;False;14;['vemDavidLuiz']
48;graziih43;recent;False;442;['instagram']
49;AnaCaroln21;recent;False;12;['AmoresVerdadeiros149']
50;GuiAlves96;recent;False;1449;['sp', 'avenidapaulista', 'urban', 'style']
51;MauricioAirolde;recent;False;5081;['LulaPresidente2022', 'Lula2022']
52;vitorsa1987;recent;False;25;['vemDavidLuiz', 'VemDavidLuiz']
53;RhuanaCorrea_;recent;False;104;['BaileDaRoma']
54;RocqueDeLa;recent;False;128;['forakaiser']
55;arianodelrey;recent;False;669;['gatilhos']
56;GuiiSantosss10;recent;False;1007;['Lacasadepapel']
57;CentralPapper;recent;False;0;['instagramdown']
58;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz']
59;AMAURIHERMES;recent;False;315;['VetaZema', 'BusãoLivre', 'BuserSim']
60;GAntonelliAmor;recent;False;263;['AmoresVerdadeiros149']
61;Marcos_p022;recent;False;460;['vemDavidLuiz']
62;JornalFla10;recent;False;3830;['DavidLuizNoMengo', 'DavidLuiznoFla']
63;wander17son;recent;False;838;['ad', 'recebidospagos']
64;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz']
65;juninhounai;recent;False;125;['VemDavidLuiz']
66;Isacb2021;recent;False;113;['VacanciaPresidencialYa', 'VacanciaPedroCastilloYa', 'BellidoRenunciaYa']
67;dudupaixaduarte;recent;False;164;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
68;FelipeBarretod3;recent;False;3079;['VemDavidLuiz', 'VemDavidLuiz']
